Date,Open,High,Low,Close,Adj_Close,Volume
01/02/62,6.978967,7.087317,6.978967,7.068196,1.563862,674670
02/02/62,7.068196,7.112811,7.036329,7.112811,1.573734,533460
05/02/62,7.112811,7.112811,6.985341,7.023582,1.553992,329490
06/02/62,7.023582,7.036329,6.998088,7.029955,1.555614,274575
07/02/62,7.036329,7.07457,7.036329,7.036329,1.557025,266730
08/02/62,7.036329,7.07457,7.036329,7.042702,1.558433,23535
09/02/62,7.042702,7.09369,7.010835,7.09369,1.569717,455010
12/02/62,7.09369,7.151052,7.087317,7.100064,1.571128,298110
13/02/62,7.100064,7.106437,6.985341,6.985341,1.545743,274575
14/02/62,6.985341,7.010835,6.959847,6.972594,1.54292,219660
15/02/62,6.972594,6.972594,6.940727,6.9471,1.537279,243195
16/02/62,6.9471,6.972594,6.940727,6.940727,1.535869,235350
19/02/62,6.940727,6.972594,6.857871,6.870618,1.520354,298110
20/02/62,6.873805,6.908859,6.873805,6.873805,1.52106,305955
21/02/62,6.873805,6.921606,6.822817,6.822817,1.509777,384405
23/02/62,6.832377,6.857871,6.832377,6.845124,1.514714,305955
26/02/62,6.845124,6.851498,6.806883,6.81963,1.509072,313800
27/02/62,6.81963,6.876992,6.781389,6.832377,1.511892,368715
28/02/62,6.832377,6.845124,6.794136,6.845124,1.514714,282420
01/03/62,6.870618,6.92798,6.870618,6.92798,1.533048,298110
02/03/62,6.985341,7.023582,6.985341,6.985341,1.545743,258885
05/03/62,6.985341,6.985341,6.934353,6.959847,1.5401,376560
06/03/62,6.959847,6.991714,6.9471,6.966221,1.54151,196125
07/03/62,6.966221,6.988528,6.9471,6.988528,1.546446,133365
08/03/62,6.988528,7.004461,6.9471,7.004461,1.549972,196125
09/03/62,7.010835,7.049076,7.010835,7.049076,1.559845,305955
12/03/62,7.049076,7.068196,7.023582,7.042702,1.558433,298110
13/03/62,7.042702,7.042702,7.010835,7.036329,1.557025,133365
